Sample	Homo sapiens	Hydrogenophilus thermoluteolus	Phaeodactylum tricornutum	Allomeiothermus silvanus	Hepacivirus C	Other	Unclassified	Thalassiosira pseudonana	Pegivirus C
12890	1945235.0	910.0	437.0	244.0		38967.0	14090.0	117.0	
12891	1869290.0	2969.0	1173.0	818.0		110641.0	14729.0	380.0	
12892	1754406.0	4240.0	1364.0	1073.0		223872.0	14693.0	352.0	
12893	1860822.0	1540.0	938.0	396.0		120525.0	15515.0	264.0	
12894	1844221.0	1672.0	478.0	477.0		136045.0	16937.0	170.0	
12895	1866230.0	1141.0	917.0	296.0		110582.0	20581.0	253.0	
12897	1894830.0	1928.0	607.0	487.0		87005.0	14997.0	146.0	
12898	1806742.0	2722.0	1081.0	749.0		170383.0	18071.0	252.0	
12899	1715905.0	10369.0	6341.0	2764.0		236712.0	26021.0	1888.0	
12900	1846348.0	2836.0	1747.0	735.0		131385.0	16410.0	539.0	
12901	1885251.0	2628.0	1543.0	731.0		86780.0	22622.0	445.0	
12902	1545102.0	5551.0	2058.0	1369.0		428940.0	16400.0	580.0	
12903	1789677.0	1903.0	740.0	524.0		183442.0	23517.0	197.0	
12905	1864192.0	2471.0	964.0	717.0		117334.0	14042.0	280.0	
12906	1839220.0	1679.0	912.0	435.0		141812.0	15698.0	244.0	
12907	1832881.0	3323.0	1799.0	848.0		142028.0	18662.0	459.0	
12908	1749131.0	4032.0	1615.0	863.0		226036.0	17865.0	458.0	
12909	1903315.0	2088.0	767.0	559.0		80064.0	12947.0	260.0	
